ihastukselle	Allative+At
hakkua	Partitive
rauhanneuvotteluihin	Allative+In
hämmentänyt	None
soutajaa	Partitive
sairautta	Partitive
kaktusta	Partitive
perustin	None
pienimmällä	At+Essive
puolestapuhujana	Formal
kellarissa	Essive+In
huollettavuudeksi	Translative
laskeutumisia	Partitive
maissista	Ablative+In
johdattivat	None
herkullista	Partitive
honatkaa	None
avaruuslaboratorioineen	Comitative
ristiriitaisista	Ablative+In
Peloponnesokseen	Allative+In
kiipeilyyn	Allative+In
valtionpäämiehille	Allative+At
koukisti	None
syvensivät	None
kyllästyneittä	Privative
diasporien	Genitive
lupaillaan	None
arkistoida	None
merkittävässä	Essive+In
ilmoitit	None
cup-kilpailuiksi	Translative
subkutiksina	Formal
lingvistisen	None
laulujen	Genitive
loistoon	Allative+In
liksalle	Allative+At
vuohenvillalta	Ablative+At
lumikvartseineen	Comitative
työpajan	Genitive
etsitään	None
eeppisissä	Essive+In
tankkasi	None
hankkeita	Partitive
pakanallisesta	Ablative+In
viiruin	Instrumental
luonnottoman	None
hiusgeelein	Instrumental
mutkasta	Ablative+In
edullisinta	Partitive
kokoonpanoon	Allative+In
takakannen	Genitive
lähdetekstistä	Ablative+In
kulttuurisesta	Ablative+In
pyhäkoulua	Partitive
substantiivin	Genitive
arvostelijoiden	Genitive
linjavioilla	At+Essive
luovu	None
uudenlaisen	None
evankelisessa	Essive+In
kirjoittaisi	None
perustajasta	Ablative+In
eoseenin	Genitive
siintää	None
flaviviruksiksi	Translative
hissukoilla	At+Essive
lämmitti	None
skannereita	Partitive
turvaamisen	Genitive
ääntänette	None
häiriönä	Formal
huijaukselta	Ablative+At
konserteille	Allative+At
reissun	Genitive
tutkimusasemien	Genitive
lehtiä	None
risakkaatta	Privative
kahlaajien	Genitive
titteliksi	Translative
oleskelulupakortista	Ablative+In
keskinäisen	None
valokeilassa	Essive+In
äänetöntä	Partitive
tekstintää	None
todennäköisistä	Ablative+In
harvesterina	Formal
bassojen	Genitive
pahimmin	Instrumental
askellajeja	Partitive
translatiivisessa	Essive+In
sido	None
yhtäläisyyksiä	Partitive
transpooseilla	At+Essive
räpylöitä	Partitive
seosmetalleista	Ablative+In
psykopatialle	Allative+At
raskauksia	Partitive
unenomaisen	None
kumpua	Partitive
selkäevän	Genitive
tropopaussin	Genitive
balettipantomiimein	Instrumental
vinyyliasetaatin	Genitive
radiokanavien	Genitive
pingviiniä	Partitive
leventää	None
tappajana	Formal
sanoisin	None
rikossyytteistä	Ablative+In
turistikohteena	Formal
siedettäväksi	Translative
pääkaupunkiseudulta	Ablative+At
läpsytelköön	None
jousimiehessä	Essive+In
hedelmöittyvät	None
yltävät	None
terassilla	At+Essive
aaveiden	Genitive
komeetoilla	At+Essive
sitaiskoot	None
pesimäajoilta	Ablative+At
ihanin	Instrumental
ulosteiden	Genitive
terveydentilasta	Ablative+In
itsekuria	Partitive
tarkkuudelle	Allative+At
ylioppilaskuntaan	Allative+In
leivinuunin	Genitive
bengalintiikereiksi	Translative
tuplata	None
puulajina	Formal
seriffiksi	Translative
symboloivat	None
reikäisen	None
jätteen	Genitive
kasvisöljyiksi	Translative
nirskuteltiin	None
siteeraisin	None
tasoristeyksen	Genitive
tutkimusretkelle	Allative+At
mukaisten	None
määränpäässä	Essive+In
kutistava	None
bioteknologioihin	Allative+In
valottava	None
puutiaisen	Genitive
kosketukseen	Allative+In
lisenssissä	Essive+In
taajuuksiin	Allative+In
oktaalisina	Formal
logosta	Ablative+In
hälveni	None
miekkaili	None
liikenneruuhkia	Partitive
limittyvät	None
liettyisin	None
kirjoittukaamme	None
avaruusraketin	Genitive
pienentynyt	None
vääristyvät	None
kävin	None
hevosvoimaan	Allative+In
teollisuusalueella	At+Essive
lineaarikuvauksen	Genitive
vihan	Genitive
tankata	None
toimittaisi	None
jähmettyi	None
suuruusluokkaan	Allative+In
työsuhteissa	Essive+In
syttymiseen	Allative+In
ydinvoimalalle	Allative+At
listaavat	None
terin	Instrumental
samansuuntaista	Partitive
tiedemiesten	Genitive
emiä	Partitive
katsomiseen	Allative+In
lastiruuman	Genitive
hermojärjestelmin	Instrumental
vähyyksiä	Partitive
syventänyt	None
pellettejä	Partitive
hampaistossa	Essive+In
äänekkään	None
prosaistina	Formal
manipuloidaan	None
jupein	Instrumental
merirokoin	Instrumental
viipyä	None
yhteenoton	Genitive
vesistöä	Partitive
nukleiinihapon	Genitive
kiinniottamisten	Genitive
vaipuu	None
ilmaantuisi	None
säärintamien	Genitive
astrofyysikotta	Privative
sitaatteina	Formal
geologiksi	Translative
beetalaktamaasin	Genitive
ylpeyden	Genitive
yleismaailmalliseksi	Translative
sukupuoliseen	Allative+In
rakastelun	Genitive
vyöhykkeeseen	Allative+In
fiksuna	Formal
tehoaisi	None
parvorokotta	Privative
paranormaaleista	Ablative+In
mutaisilla	At+Essive
rakennushankkeiden	Genitive
lehtimiehille	Allative+At
rivillä	At+Essive
luonnonvalintaa	Partitive
demonisen	None
sävellyksinä	Formal
tuskallisen	None
hybrikseltä	Ablative+At
jynssäystä	Partitive
sotilasvallankaappauksista	Ablative+In
erottimena	Formal
huomaavat	None
pakoon	Allative+In
miestyövuotta	Partitive
tupaa	Partitive
suvaittakoon	None
biopolttoaineelle	Allative+At
paljastuksesta	Ablative+In
sisältöjen	Genitive
ajoittaista	Partitive
lämätkäämme	None
shakissa	Essive+In
patsailla	At+Essive
hajuvesiä	Partitive
ilmoitukseen	Allative+In
sävytti	None
kypsän	None
teknillisenä	Formal
naturismin	Genitive
vietillä	At+Essive
työperäisen	None
seikkailuelokuvassa	Essive+In
tekopyhyyttä	Partitive
juuttui	None
pensaana	Formal
viruksiin	Allative+In
järvialtaita	Partitive
parannettava	None
rakoilemattomalta	Ablative+At
roboteille	Allative+At
hallinnollisessa	Essive+In
maisemakuvaa	Partitive
kuolleisuudesta	Ablative+In
kansallistettiin	None
ammuksista	Ablative+In
jahtaavat	None
mustavalkoisiksi	Translative
keksijöille	Allative+At
upotussuolattiin	None
hämähäkinseitin	Genitive
shakkiin	Allative+In
nastoitamme	None
kaasusta	Partitive
alleviivata	None
perifrastisen	None
kohosivat	None
noudattelevat	None
uutisoitu	None
tuotteille	Allative+At
rapistua	None
keskeytettäisiin	None
kuntalaajennusta	Partitive
vihannoisitte	None
asteroideissa	Essive+In
parantelen	None
kahlata	None
loihtii	None
arvokkain	Instrumental
hiomossa	Essive+In
neutralisoidun	None
toisinajattelijoista	Ablative+In
hehkuva	None
croissantissa	Essive+In
suuren	Genitive
monarkiaan	Allative+In
liukuva	None
vaikeutui	None
ätäkkejä	Partitive
nimisten	None
vihkivettä	Partitive
puhun	None
puolitangossa	Essive+In
hippodromilla	At+Essive
ammattitaidon	Genitive
derkkuineen	Comitative
vientituotetta	Partitive
tappioina	Formal
triumviraatin	Genitive
sossulta	Ablative+At
jouluaaton	Genitive
lipsua	None
pohdiskella	None
baškiiria	Partitive
mukin	Genitive
vihassa	Essive+In
kyntää	None
kirjekuoria	Partitive
välity	None
avohakkuiden	Genitive
suojasin	None
länsirajan	Genitive
esterien	Genitive
sketsistä	Ablative+In
mentaalisten	None
salakirjoittajatta	Privative
posion	Genitive
avuttomaksi	Translative
metafyysisenä	Formal
ööliä	Partitive
kaivaisi	None
verenpaineen	Genitive
rei'ittimin	Instrumental
juotoille	Allative+At
evakuointia	Partitive
ratsastajapatsaan	Genitive
helpottaa	None
länsivaltoja	Partitive
kolmipyörän	Genitive
jäsentävät	None
tielaitoksen	Genitive
rasittavia	Partitive
kvartetolla	At+Essive
leväköltä	Ablative+At
muusikkoon	Allative+In
koelentoa	Partitive
inerttiä	Partitive
pakkotyöllä	At+Essive
abnormiutta	Partitive
maksullisiksi	Translative
harhasoitoissa	Essive+In
liskojen	Genitive
jäljittelivät	None
pyhitti	None
pilkkaavat	None
törröttää	None
liikuttanut	None
faaraoksi	Translative
saniaisen	Genitive
luhistunut	None
kuumina	Formal
automaattiseen	Allative+In
pohatalle	Allative+At
kartoitusta	Partitive
rikkautena	Formal
vähäisen	None
hirtetään	None
vilkkaaseen	Allative+In
henkilöllisyyden	Genitive
päähenkilöinä	Formal
maanviljelyllä	At+Essive
kumman	None
hengitysteistä	Ablative+In
rynnäköivät	None
juontavat	None
ydinvoimalaa	Partitive
rasvaista	Partitive
identiteetin	Genitive
akselivaltoja	Partitive
teräsvillatta	Privative
taikurien	Genitive
suosijana	Formal
vainiosta	Ablative+In
sotaherran	Genitive
kurkkumätään	Allative+In
rangaistavaan	Allative+In
huokoisesta	Ablative+In
visentin	Genitive
asukiksi	Translative
suurikokoisia	Partitive
eliminoitiin	None
megaliitille	Allative+At
härvelin	Genitive
kirkasti	None
brittienglannissa	Essive+In
ikävuoden	Genitive
räjähtivät	None
veikkaan	None
arkkityyppejä	Partitive
eksegetiikkaa	Partitive
uhkarohkeita	Partitive
keijuksi	Translative
kotisivuilla	At+Essive
puhdistuksesta	Ablative+In
valaisuun	Allative+In
emättimen	Genitive
kaivannossa	Essive+In
rataosasta	Ablative+In
arveluksi	Translative
tulivuorenpurkausta	Partitive
homeerisen	None
kaavaisitte	None
kristillisiksi	Translative
länsimailla	At+Essive
loputtomalta	Ablative+At
tiheni	None
yksilöivä	None
lahjoittaa	None
kannatuksella	At+Essive
hyönteismyrkkyjä	Partitive
altistuvat	None
morfologisina	Formal
askia	Partitive
bensiinikäyttöisiä	Partitive
huku	None
siirtämisessä	Essive+In
jorpakkoon	Allative+In
tiilitehtaita	Partitive
ammattiliittoihin	Allative+In
radioasemaa	Partitive
sopeutettakoon	None
riehuvat	None
painavimmista	Ablative+In
valtiollisista	Ablative+In
salkusta	Ablative+In
kartiopullistumalla	At+Essive
lähetyksiin	Allative+In
iiriksessä	Essive+In
nelinpeliin	Allative+In
uurrettu	None
saarelta	Ablative+At
ahdetulla	At+Essive
laiminlyö	None
venesatamaa	Partitive
turvamiesten	Genitive
valtiaasta	Ablative+In
kaukaisissa	Essive+In
taon	None
surmasivat	None
järjestäisi	None
muutellaan	None
jengiläisiksi	Translative
pointin	Genitive
kaukolämpöön	Allative+In
kiistojen	Genitive
painovoimalla	At+Essive
yksityisautoilua	Partitive
toimivissa	Essive+In
kuntoilijoin	Instrumental
kinoksen	Genitive
hyväntahtoisia	Partitive
lohikäärmeisiin	Allative+In
tulipaloilta	Ablative+At
saapuvalle	Allative+At
rakennuslupaa	Partitive
naprapatioina	Formal
kannatta	Privative
suudella	None
lähdekoodissa	Essive+In
salkkua	Partitive
neutraalille	Allative+At
puuvillasta	Ablative+In
virheettömyyden	Genitive
mykistyimme	None
ruokintaa	Partitive
kansallisille	Allative+At
ryskytte	None
nutrioina	Formal
tasotikkaiden	Genitive
ravintolisinä	Formal
satunnaisesta	Ablative+In
kasvamme	None
raivokasta	Partitive
esipuheella	At+Essive
tasokkaasta	Ablative+In
merkintää	Partitive
puolustajiksi	Translative
jumalanpalveluksista	Ablative+In
teknologialle	Allative+At
keskiajalta	Ablative+At
humallutettu	None
erillisissä	Essive+In
paheni	None
viestinnällä	At+Essive
liottaisitte	None
järjestyksenvalvojien	Genitive
skoolatkoon	None
kriisiajan	Genitive
routaa	Partitive
äänenvoimakkuudesta	Ablative+In
nautiskelijoihin	Allative+In
pyydysti	None
arkisista	Ablative+In
paperitehtaalta	Ablative+At
harvinaista	Partitive
merkityksissä	Essive+In
skandaalilla	At+Essive
kylkien	Genitive
valkovenäjällä	At+Essive
pahenna	None
puran	Genitive
eriävien	None
