skinned	PST
loided	PST
enlargements	None
tyrone	None
mutilated	PST
denude	NPST
scamper	NPST
prickled	PST
velarize	NPST
thunder	NPST
rare	NPST
abitten	NPST
siervo	None
parents	NPST
speckles	NPST
disinfects	NPST
upconverted	PST
predominated	PST
sweetmeat	None
beckoned	PST
sarsed	PST
drenches	NPST
exceeding	NPST
downstairs	None
vended	PST
argyle	None
aires	None
sisted	PST
massed	PST
prowess	None
apostemated	PST
abounded	PST
torso	None
passworded	PST
defoliated	PST
july	None
demobs	NPST
superadding	NPST
pikku	None
accentuation	None
distress	NPST
equalized	PST
furrows	NPST
indemnifying	NPST
item	None
pretenses	None
uncuff	NPST
intercoiled	PST
womaned	PST
coted	PST
extremities	None
veo	None
reorientates	NPST
vended	PST
braking	NPST
overstarches	NPST
gist	NPST
disaffection	None
mariette	None
optimised	PST
creeks	None
overhead	None
sputtering	NPST
bouches	NPST
raffed	PST
clamped	PST
sidetracked	PST
patroness	None
africanus	None
acquainting	NPST
propining	NPST
dufour	None
transsexualizes	NPST
manoeuvered	PST
examples	NPST
während	None
unfreezes	PST
tonson	None
kink	NPST
centred	PST
assessor	None
fulfill	NPST
face	NPST
geschichten	None
altring	NPST
normalising	NPST
SPADing	NPST
feudalised	PST
homely	None
scabbard	NPST
protected	PST
paralyze	NPST
streaks	NPST
gebiete	None
nipped	PST
ruhe	None
gre	None
whelped	PST
astronomical	None
schnabel	None
extension	None
counterpunched	PST
tremping	NPST
antinous	None
holbrook	None
agility	None
shuffle	NPST
forgoing	PST
liebknecht	None
microinjected	PST
compassionated	PST
surveyed	PST
bronx	None
filliping	NPST
non-prossed	PST
stented	PST
derezzing	NPST
maggie	None
carter	None
mouthful	None
dividing	NPST
conspiration	None
crimea	None
commode	None
im	None
exclaimed	PST
punched	PST
taal	None
amends	NPST
ammonium	None
retrieve	NPST
overreacted	PST
outcome	None
waltzes	NPST
ovipositing	NPST
vapoured	PST
geistes	None
anchorite	None
underestimate	NPST
feareth	None
faultlessly	None
subpoenaed	PST
upskirted	PST
griefed	PST
maledictions	None
compagnies	None
relieve	NPST
frailed	PST
realised	PST
ros	None
auctions	NPST
tensed	PST
petrified	PST
dict	None
parps	NPST
donor	None
apprenticed	PST
parallelizes	NPST
accredited	PST
gypsum	None
troupes	NPST
ill-treating	NPST
cashiers	NPST
savors	NPST
venerated	PST
oops	NPST
sipe	NPST
condited	PST
fragilizes	NPST
encapsidated	PST
denier	None
teeken	None
scots	None
disrespected	PST
romain	None
imposible	None
escaliers	None
reprecipitated	PST
suckered	PST
participated	PST
contemporaries	None
tests	NPST
palisades	NPST
live	NPST
comercio	None
allston	None
whimsical	None
deglobalise	NPST
hilton	None
breastfeeds	NPST
vóór	None
sepulchred	PST
bioneers	NPST
subversion	None
oversteaming	NPST
champion	NPST
hulking	NPST
flowed	PST
lateralize	NPST
uncrinkled	PST
signposting	NPST
fapped	PST
fingerprints	NPST
forhardened	PST
exemplification	None
distrustful	None
plate	NPST
dyeing	NPST
silliness	None
torheit	None
miscosted	PST
arboresced	PST
genre	None
guerra	None
continence	None
disinfected	PST
interpreted	PST
graced	PST
small	NPST
scheduling	NPST
floxed	PST
suffused	PST
healthy	None
interrogate	NPST
disadvantaged	PST
frowns	NPST
homeporting	NPST
rovers	None
envelope	NPST
pulsate	NPST
jolie	None
unhooding	NPST
brocading	NPST
thru	None
drip	NPST
felicitates	NPST
daddled	PST
oxygenating	NPST
thicker	None
hassling	NPST
spanished	PST
reminisce	NPST
churn	NPST
generating	NPST
uri	None
extricated	PST
readopts	NPST
backquotes	NPST
avenging	NPST
raspberried	PST
unfurl	NPST
censors	NPST
scaled	PST
offshored	PST
re-marked	PST
bernadotte	None
babied	PST
vand	None
capitalist	None
prettify	NPST
embased	PST
ventilating	NPST
vergleich	None
bucked	PST
días	None
dazzled	PST
benevolent	None
additionally	None
cheering	NPST
nanking	None
revolving	NPST
frederick	None
lautered	PST
conveyed	PST
celebrates	NPST
bebled	PST
muckered	PST
blow-dries	NPST
mousetraps	NPST
vulcanized	PST
officered	PST
spanned	PST
object	NPST
mischieving	NPST
rücken	None
princeton	None
eccentricate	NPST
danged	PST
