valitin	Past
selannut	Past
koettu	Past
jauhettiin	Past
kuluttava	Present
jatkoi	Past
vuorottelivat	Past
tasavaltaa	None
maisteria	None
vieronen	Present
vaikeutettiin	Past
kiistetään	Present
valkopajuilla	None
runoelmaan	None
kässäävä	Present
blokata	None
purjeilla	None
komennetaan	Present
ostajista	None
neutronisäteily	None
kiirehtii	Present
hengittävät	Present
viimeistelevät	Present
puhui	Past
joustanee	Present
voimistuu	Present
leimautunut	Past
innostuisi	Present
laillistettiin	Past
pyörähtänyt	Past
kaskea	Present
koukkua	Present
hävittivät	Past
lomauttaisin	Present
jäljennettiin	Past
ehostettiin	Past
reaktioihin	None
vihoitellut	Past
pahoittava	Present
käyttäjätunnuksille	None
ammuskeli	Past
romututte	Present
haaletkaamme	Present
peru	Present
kuopattu	Past
paranevat	Present
ratkaissut	Past
keskikokoisessa	None
häkkilinnuista	None
seisonut	Past
ilmoitit	Past
välitettävä	Present
romuttaisi	Present
siintävät	Present
välttävät	Present
häilähtänemme	Present
luikannemme	Present
oiotaan	Present
mallintaa	Present
rungolle	None
ruoskittakoon	Present
keräillyt	Past
ravintoloitsijasta	None
isottelee	Present
vähäjärkisine	None
haaraisille	None
luokkaretkelle	None
voimistava	Present
selosti	Past
miksasivat	Past
somatisoisit	Present
vesittää	Present
näyttäisivät	Present
avaaria	None
jutusta	Present
koputa	Present
toiminnoissa	None
valu	Present
webbi	None
dynastiassa	None
aineistakoot	Present
iskenyt	Past
karjatilat	None
predestinoitakoon	Present
hitsataan	Present
survivalismeineen	None
onnistaa	Present
investoitiin	Past
kellistetty	Past
liehuivat	Past
yllyttävät	Present
sijaitsisivat	Present
hetkahdit	Past
tarkoittivat	Past
viihdyttää	Present
paistoi	Past
jyrännemme	Present
hyvinvoinnissa	None
mutkisti	Past
kuohuu	Present
huomautukseen	None
asiantuntijaa	None
äverryn	Present
juopotteli	Past
rastas	None
selvittelivät	Past
pielestivät	Past
kuosiin	None
paneskelkaa	Present
luovuttaisivat	Present
lorvikoon	Present
auringonsäteiden	None
rekisteröity	Past
kuvitteellisista	None
voimisteli	Past
emännöiköön	Present
vedän	Present
hävettää	Present
ranskalaistumme	Present
päällystivät	Past
vakioina	None
perustelevat	Present
edullisinta	None
verhoillut	Past
varoitteli	Past
moninkertaista	Present
sorrettu	Past
raanoja	None
vertailtiin	Past
lännenelokuvista	None
riistetty	Past
luennoinut	Past
teknologiateollisuuden	None
kasta	Present
tarvitsisimme	Present
sykertänet	Present
modernisoitiin	Past
satelliittien	None
tehostaa	Present
kasva	Present
lähetti	Past
tasoittanut	Past
venyisi	Present
romahtanut	Past
valuivat	Past
preparoitu	Past
uhkaillen	Present
kuti	Past
hiipi	Past
vähätellen	Present
otaksutaan	Present
asteiksi	None
jäljittänyt	Past
huoannut	Past
enteili	Past
nyrkistivät	Past
paseeraillevat	Present
