keuhkolaajentumataudeilla	keuhkolaajentumatauteina	Case
maitovalas	maitovalaalla	Case
änkyttävä	kipinöivä	lemma
töninee	tönii	Mood
selkävian	selkävialle	Case
ovikilpi	ovikilvelle	Case
tylsyit	siivutit	lemma
söpö	kuolemaantuomittu	lemma
kauhtuu	kauhtunee	Mood
eritettäisiin	krampattaisiin	lemma
sprinklerilaitteistojen	kuusamaperhosten	lemma
kylvettäneen	kylvetään	Mood
akateemisissa	akateemisessa	Number
retuutat	retuutatte	Person
sukkahousuja	sukkahousuissa	Case
onnittelisivat	onnitellevat	Mood
idealisointi	idealisoinnilta	Case
tasoittimin	säästäväisyyksin	lemma
meribiologia	meribiologian	Case
episkopaalisella	mentaalisella	lemma
kiderakenteet	kiderakenteitta	Case
hakettanevat	mököttänevät	lemma
orjuutetaan	orjuutettiin	Tense
kolhiutuisi	kolhiutuisit	Person
tekokielillä	lounasajoilla	lemma
valtionpäämiehestä	valtionpäämiehistä	Number
viehtymykset	viehtymyksiltä	Case
tappelee	tappelevat	Person
kakkospainikkeeksi	kakkospainikkeiksi	Number
peliautomaateilta	peliautomaatilta	Number
häkellyttäköön	liikahdelkoon	lemma
havainnoijat	lainanottajat	lemma
teilannen	teilannet	Person
suolakekseihin	suolakeksejä	Case
assyrialaisena	ilmettynä	lemma
ylihinnoittelet	kyttäät	lemma
ystävyysotteluja	medestäjiä	lemma
häväissevät	häpäisisivät	Mood
aidoitimme	aidoittivat	Person
harjoitteita	harjoitteitta	Case
tanssi	maalaile	lemma
laatoituksessa	laatoituksissa	Number
sakkolihoille	sakkolihojen	Case
kurottunemme	kurottunen	Number
kaupunginmuurilla	kaupunginmuureilla	Number
pyörennämme	pyörennätte	Person
päiväpuolelle	päiväpuoletta	Case
slummiutukoot	sekularisoikoot	lemma
päännyökkäystä	päännyökkäyksiä	Number
selventäköön	selventäkää	Person
kerkeäisitte	kerjennette	Mood
ihmissalakuljettajitta	ihmissalakuljettajineen	Case
puristamme	puristanemme	Mood
abiristeilyjä	abiristeilyistä	Case
perustavat	perustaa	Number
kehityshäiriöt	kehityshäiriö	Number
untuvin	sähköaistein	lemma
banaaniviljelmistä	banaaniviljelmissä	Case
teevadin	teevati	Case
taivaiksi	taivaista	Case
teriöstä	teriöistä	Number
suonissa	suonet	Case
löllöiltä	löllöltä	Number
aamiaistap	säätöteorioina	lemma
teoksesta	teoksista	Number
lääkeannoksesta	lääkeannoksista	Number
äitiysrahojen	äitiysrahoin	Case
välitti	välitit	Person
infernaalisitta	infernaalisetta	Number
suojakypärillä	suojakypärällä	Number
paikatkaa	paikatkaamme	Person
nukleiinihapon	nukleiinihappojen	Number
ottelijoilla	ottelijoita	Case
kaksoiskierre	kaksoiskierteen	Case
hallitse	nurkkaa	lemma
ihmismäisinä	samanarvoisina	lemma
lapsenkieli	lapsenkielellä	Case
viilloissa	viiltoihin	Case
sukupolvienvälisettä	sukupolvienvälisittä	Number
raatelisin	raatelisimme	Person
tuppiherkkusientä	tuppiherkkusieniä	Number
tuupattakoon	siistiydyttäköön	lemma
aavikkopussimäyrät	nimenselvennykset	lemma
vanukkaat	vanukas	Number
ränsistytätte	ränsistyttänette	Mood
pujonta	pujonnaksi	Case
smaragdinvihreän	pömppömahan	lemma
neutraaleissa	neutraalissa	Number
hurjia	hurjaa	Number
pukeutunut	pukeutuva	Tense
katuosoitteita	katuosoitetta	Number
essentiaalisessa	essentiaalisissa	Number
asetofenoli-isatiinit	näpistelijät	lemma
mieskuoroa	mieskuoro	Case
sarveisaineina	sarveisaineena	Number
aukaisen	aukaisin	Tense
työttömyysturvien	työttömyysturvan	Number
vierasmajojen	vierasmajoihin	Case
apokryfinen	raskastekoinen	lemma
epidermeihin	epidermiin	Number
vallankumouksellisimmilta	luumaisilta	lemma
isobaarissa	isobaareissa	Number
epänormaalisuuksia	meikkivoiteita	lemma
sieventänee	sieventänette	Person
hapetutte	luudutte	lemma
pyörähti	pyörähdin	Person
puuhuilusta	puuhuiluista	Number
hiiliatomeitta	hiiliatomeilta	Case
nätkelmissä	nätkelmässä	Number
selvitettäköön	selvitettäneen	Mood
käräjät	käräjissä	Case
tärytät	kränäät	lemma
antikommunistiin	antikommunisteihin	Number
rietastelisitte	rietastelette	Mood
hakanen	hakaset	Number
lähdekielten	lähdekielen	Number
ruksinee	ruksisi	Mood
vaimentimella	vaimentimeen	Case
rasvakala	rasvakalat	Number
valmennetaan	valmennettakoon	Mood
hylkiöiden	keittojen	lemma
keikkuu	keikutte	Person
mäntyinen	mäntyiset	Number
etukulmat	etukulmille	Case
järjestelköön	järjestellee	Mood
hyydytimme	maastouduimme	lemma
lampaankääpää	lampaankääpiä	Number
urakoinneiksi	urakoinniksi	Number
ekosfääreiltä	ekosfääreihin	Case
matemaattistanee	matemaattistaisi	Mood
verisine	verisistä	Case
katkeatte	lekottelette	lemma
vaalitutkimuksiin	vaalitutkimukseen	Number
esoteerisia	esoteerista	Number
myrhoilla	myrhoissa	Case
tarjoutukaamme	tarjoutukoot	Person
nyökyttelitte	nyökyttelivät	Person
nojautuisin	nojautunen	Mood
kehittymättömiksi	kehittymättömin	Case
ulkofileissä	ulkofileet	Case
ylämaat	ylämailta	Case
syntisissä	kuivuneissa	lemma
tsempeistä	riistaeläimistä	lemma
vauvantalkkeihin	vauvantalkkien	Case
äitiysneuvolaa	äitiysneuvoloita	Number
vispaannun	vispaannut	Person
varvuista	kalakoukuista	lemma
lehtimetsinä	lehtimetsille	Case
fiksaatioiden	fiksaatioita	Case
terawattitunnissa	terawattitunneissa	Number
julistautuivat	julistautuvat	Tense
ravurille	ravuriksi	Case
filigraanilangat	filigraanilanka	Number
itiökotelot	itiökoteloille	Case
häikäisisit	häikäisisitte	Person
kierosilmäiseksi	kierosilmäisellä	Case
mikroaalloitta	mikroaaltoihin	Case
paikallistitte	paikallistivat	Person
karstauksissa	karstauksessa	Number
arkipäiväistyy	arkipäiväistyvät	Number
kytee	kydet	Person
limitin	limittimessä	Case
säkäkorkeuksilla	säkäkorkeudet	Case
hellittämättömyyksissä	oskillaatioissa	lemma
sorannet	sorannevat	Person
puoluetoveriksi	puoluetoverissa	Case
kiikunnoiksi	kiikuntoja	Case
jaellevat	jaellette	Person
emännät	emäntä	Number
vakuuttavana	vakuuttavina	Number
eksokarpeille	eksokarpein	Case
pudotkoot	pudotkoon	Person
hapannutettava	shokeerattava	lemma
ikkunattomiin	ikkunattomista	Case
unhotu	unhottukaa	Number
glottaaleiksi	glottaalit	Case
sifonit	sifonien	Case
tunnun	ojitusalueen	lemma
kallionjärkäleenä	kallionjärkäle	Case
biokatalysaattoreissa	biokatalysaattorissa	Number
fasilitoivat	fasilitoi	Person
keskiosaan	keskiosa	Case
assyriologioiksi	krutongeiksi	lemma
lähitulevaisuuden	lähitulevaisuuteen	Case
majoitti	majoittivat	Number
yhteneväisettä	oloisetta	lemma
räyhähengiltä	räyhähengeltä	Number
tarrautuvat	tarrautuu	Person
sulauttaisimme	loivenisimme	lemma
leimutkaamme	leimutkaa	Person
kirjoitelmia	kirjoitelmineen	Case
jakaa	jakaisi	Mood
elektronivolteilla	elektronivolteissa	Case
polvitaipeessa	polvitaivetta	Case
derivoituvatta	jollaisetta	lemma
saprotrofeja	saprotrofia	Number
loppusuorina	loppusuorana	Number
teiiniksi	teiineiksi	Number
poetiikoiksi	poetiikkoineen	Case
veripeipeiltä	veripeippeineen	Case
aktiivistin	aktiivistivat	Person
marhamintaa	marhaminnalta	Case
ilma-aseisiin	ilma-aseet	Case
vettynen	vettynet	Person
jonglöörissä	jonglööreissä	Number
diskontattaneen	diskontataan	Mood
atrofista	sähkömekaanista	lemma
tussiin	tussin	Case
hapertunee	hapertunette	Person
öljyisyyteen	öljyisyyksiin	Number
opetelkaa	opettele	Number
vitoisivat	myrkyttyisivät	lemma
lampaina	lampaana	Number
valmisteet	valmiste	Number
vihervarpuseen	läikkään	lemma
ydinräjähteen	ydinräjähde	Case
alusmaihin	alusmaina	Case
rakentajat	rakentaja	Number
äänestin	äänestit	Person
kouhottaa	kouhotatte	Person
sinkkisälvät	sinkkisälpä	Number
ekonometrisella	ekonometrisilla	Number
yövahti	leikkaus	lemma
korvaisimme	korvaisitte	Person
areenaan	areenaa	Case
suhtautuu	suhtautuvat	Number
viemäreissä	viemärissä	Number
illustroitaisiin	illustroitakoon	Mood
avaruuslaivoja	avaruuslaivaa	Number
berliininmakkaroilla	berliininmakkaroihin	Case
ajankohtaistukoon	ajankohtaistuisi	Mood
lehtimuotona	lehtimuotoina	Number
huurrutit	huurrutimme	Person
lestiin	lestiä	Case
iskelmämusiikiksi	iskelmämusiikilta	Case
aktuaarilla	aktuaareilla	Number
köyristellee	köyristellet	Person
kotvin	kotvilta	Case
haistaa	säiliöidä	lemma
työskentelee	työskentelen	Person
tuiskuttaisi	löntystäisi	lemma
nuijaseitikeiltä	nuijaseitikiltä	Number
shokeeraisivat	shokeeraisimme	Person
toteemieläimissä	toteemieläimessä	Number
absurdeimmille	merensinisille	lemma
koulinet	koulit	Mood
amarylliksillä	amarylliksiin	Case
aineistuisi	aineistunee	Mood
etelärajaa	kuntalaajennusta	lemma
aseistariisunnoista	keuhkolaajentumataudeista	lemma
jäljennyttäisiin	jäljennyttäköön	Mood
jäseneen	jäsenelle	Case
takuin	lapintiaisin	lemma
liftarilla	liftari	Case
kuumennatte	kuumentavat	Person
adrenoreseptoreina	adrenoreseptorit	Case
ikävöikää	ikävöinette	Mood
hoippuroinneille	hoippuroinneiksi	Case
adefoviiridipivoksiilissa	adefoviiridipivoksiileissa	Number
pynttäytynette	pynttäytynen	Person
lukutoukkia	lukutoukkaa	Number
mölyä	mölytköön	Person
genealogeihin	genealogiin	Number
öljyvärimaalauksineen	öljyvärimaalauksilta	Case
antropologeista	antropologista	Number
pojanpoikiin	pojanpojilla	Case
seurakoiraksi	seurakoiriksi	Number
geofyysisen	jordanialaisen	lemma
kiinteä	kiinteät	Number
teoretisoin	teoretisoi	Person
ääriliikkeessä	kihlasormuksessa	lemma
aasiansatulahaikaroihin	aasiansatulahaikaraan	Number
koaguloinnitta	koaguloinneitta	Number
hylky	hylyllä	Case
hypetät	hypetämme	Person
etikoitunein	säärevin	lemma
hirvas	hirvaat	Number
istutuksesta	istutuksista	Number
manaatille	manaatilla	Case
skaalaisi	skaalatkoon	Mood
alittakaa	alittakoot	Person
luetteloilla	luettelolla	Number
timotein	timoteiden	Number
kammitsoikoot	kammitsoikaa	Person
siitepölyt	siitepölyihin	Case
akselisto	akseliston	Case
aseelliseksi	kommunistiseksi	lemma
nuukahtelevat	nuukahtelisivat	Mood
räjäytyksessä	räjäytykseen	Case
keskiluokkaistumme	keskiluokkaistukaamme	Mood
himmennätte	himmennät	Person
knaapiksi	knaapeiksi	Number
kimittänemme	kimitämme	Mood
tanssisivat	tanssisin	Person
läjinä	läjiin	Case
ilmaisijalle	ilmaisijana	Case
valitsimet	valitsimille	Case
yskähdelkööt	yskähtele	Person
lämpimämmät	lämpimämpi	Number
jäsenvaltioista	jäsenvaltiosta	Number
alkuunpanijoina	alkuunpanijana	Number
öljykalvon	öljykalvojen	Number
nahkeat	nahkeista	Case
epäjumalankuva	lanttu	lemma
tekijänoikeuslakeja	tekijänoikeuslait	Case
perhosteltakoon	perhosteltaisiin	Mood
imeltykööt	imelly	Person
tiinehdin	tiinehdit	Person
sulkakynä	sulkakynät	Number
deponoisitte	kuivaisitte	lemma
tursuttaisi	tursuttaisitte	Person
folkloristiikalla	folkloristiikoilla	Number
argentiinalainen	lohduton	lemma
konsonanttiin	konsonantteihin	Number
keimailin	keimailen	Tense
sliipataan	pietään	lemma
kaasufaaseiksi	kaasufaasein	Case
oppimateriaalit	oppimateriaali	Number
luunsyöjäsolut	luunsyöjäsolu	Number
jylise	jyliskäämme	Person
fuusioiden	fuusion	Number
kiilteitä	kiillettä	Number
astraalisiin	astraalisia	Case
joulu-ukoin	joulu-ukoista	Case
plakkarin	plakkarien	Number
retaleeksi	retaleesta	Case
uruguaynvyötiäinen	uruguaynvyötiäiselle	Case
vihlaisen	vihlaissen	Mood
nytkähdellen	nytkähtelen	Mood
antifasistit	antifasisti	Number
silponut	silpova	Tense
keskiarkeeisilla	keskiarkeeisiksi	Case
luovilta	luovalta	Number
kohdistui	kohdistuit	Person
konttoristukoon	konttoristu	Person
kookkaat	kookas	Number
nidonnalla	nidonnoilla	Number
ryminöiltä	ryminät	Case
rastin	rasti	Person
diggasi	perusteli	lemma
jalohaikaroineen	kansankirkkoineen	lemma
erilaistui	erilaistuivat	Number
eloisa	paperinen	lemma
nukkekodin	nukkekotiin	Case
substituoivat	substituoikoot	Mood
myöhensimme	myöhensitte	Person
aamiaistettaneen	aamiaistettaisiin	Mood
kaket	kakeille	Case
balkanilaiselle	kreationistiselle	lemma
hämmästelee	hämmästeli	Tense
doupannette	leimautunette	lemma
moninaistuimme	moninaistui	Person
hämeenlinnalaiset	katkerat	lemma
kakistakaamme	kakistakoot	Person
heijastumia	heijastumista	Case
afrikankultakissaksi	afrikankultakissasta	Case
uusromantiikkana	uusromantiikka	Case
baana	mainonta	lemma
täyteläisin	täyteläisimmällä	Case
automaattikirjoitukseksi	automaattikirjoituksiksi	Number
arvopaperistaisi	arvopaperistaisin	Person
lakoutunemme	lakoutunet	Person
ravistuksina	ravistuksena	Number
sensaatiomaiseen	sensaatiomaisesta	Case
huipputeknologiana	huipputeknologioina	Number
alveolaarisia	pakkomielteisiä	lemma
aktiviteettina	aktiviteetteina	Number
tuivertanemme	tuivertakaamme	Mood
fluoratkoot	ryittäkööt	lemma
mittaamattomuudet	mittaamattomuus	Number
työntöinä	työntönä	Number
hospitsia	puomia	lemma
pingoittakoot	pingoittakaamme	Person
mustakurkkumuurissa	mustakurkkumuurassa	Number
osuustoiminnallisten	osuustoiminnallisen	Number
vispaudu	vispautuisit	Mood
spiikkaamme	spiikannemme	Mood
herttaisessa	kalseimmassa	lemma
improbaturille	improbaturina	Case
antaisimme	nuuskisimme	lemma
snaijaisimme	snaijaisit	Person
illallistaisin	illallistaisit	Person
ilmakuivannemme	omistanemme	lemma
tuliperäisistä	sähkömagneettisista	lemma
kvanttifysiikoiden	kvanttifysiikkoineen	Case
pöytäsahoilta	pöytäsahalta	Number
dietetiikoista	dietetiikasta	Number
tyhjänaikaisessa	infrapunaisessa	lemma
hiusgeeleistä	hiusgeeleiltä	Case
tableteiksi	tabletiksi	Number
käsittelisimme	käsittelisi	Person
joudetaan	luuhataan	lemma
ikivanhat	kiviset	lemma
taiteellisiksi	taiteelliseksi	Number
dreijaatte	dreijaa	Person
jäännöksiin	jäännökseen	Number
sondeerataan	kristalloidutaan	lemma
taidekokoelmaa	taidekokoelmia	Number
värjää	värjäsi	Tense
faageina	faagina	Number
sovittu	sovittava	Tense
vapaamielinen	vapaamieliset	Number
kihlauksessa	kihlaukselta	Case
loihdi	loihtikoon	Person
heltoissa	kimairoissa	lemma
helskykäämme	helskynemme	Mood
ehdollepano	piruntusina	lemma
vastaehdokkaiden	vastaehdokkaan	Number
luottamukselliset	luottamuksellisia	Case
kuoreudutte	kuoreudut	Number
